Unilever to slash new plastic use by nearly 400,000 tons per year
Unilever has bought US start-up Dollar Shave Club for a reported $1bn .
Unilever to Facebook and Google: Clean up digital 'swamp' or we'll pull ads
Kraft backs out of Unilever bid after hostile reception
Firms such as Kellogg's, Unilever and Nestlé 'use child-labour palm oil'
Kraft Heinz abandons £115bn Unilever mega-deal
Buyout firm 3G Capital managed to build a consumer empire with a market value of over $140 billion in just seven years. Yet its ruthless approach to costs may end up hampering 3G-backed Kraft Heinz Co's (KHC.O) $143 billion bid for Unilever Plc (ULVR.L)
A big-money war is brewing over the meaning of America’s best-selling condiment: mayonnaise. The maker of Hellmann’s mayo, food giant Unilever, has sued the San Francisco start-up behind Just Mayo, an egg-less, mayonnaise-like sandwich spread giving Big Mayo a run for its money.
Hellman's maker Unilever drops lawsuit against maker of eggless spread 'Just Mayo'
Unilever’s Bullying Backfires, Boosts Hampton Creek
Tesco in dispute with Unilever over price rises
Ben Cohen and Jerry Greenfield (aka Ben & Jerry) arrested in Washington
Unilever has agreed to pay $4.5 million after pleading guilty to two felony environmental violations at a former health and beauty products manufacturing plant in Connecticut
Unilever partner with Microsoft Advertising UK for first ever cross-platform campaign
Company: Lipton tea safe despite pesticide claim. Unilever answered allegations that a banned pesticide was found in Lipton tea, saying on Tuesday that all of its products are safe.
