,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2030,2050
Nestle,-,-,-,-,7.7,7.4,6.8,6.2,5.8,-,-,0
Coca Cola,5.19,5.32,5.48,5.53,5.55,5.58,5.45,5.54,5.55,-,-,-
P&G,-,-,-,5.483,5.912,5.149,4.669,4.559,4.053,-,3.6,-
Johnson & Johnson ,1.236,1.172,1.059,1.069,1.048,1.037,0.985,0.978,0.981,0.9888,-,0.2472
Unilever,-,-,-,-,-,-,-,1.69,1.659,-,-,0
Kellog,-,-,-,-,-,1.11,1.09,1.04,0.94,0.9435,-,-
Pepsi,,,,,,5.486,5.408,5.33,5.135,-,4.3888,-
